adm3_pcode,ward,population_density,sex_ratio,average_household_size,total_dependency_ratio,population_pc_rural,disability_prevlance_rate,agricultural_employment_pc_total,wealth_quintile_poorest_quintile_pc,house_quality_inadequate_least_adequate_pc,unimproved_sanitation_pc,unimproved_drinking_water_pc,population_total,impacted_buildings,cluster
NP0328301,12,241.896256422969,92.39013933547696,3.782929399367755,51.67,0,1.56,79.83,5.58,0.32,0.8429926238145415,4.531085353003162,3603,72,B
NP0328402,5,329.882183264893,96.57573998839234,3.7016393442622952,55.87,0,2.78,68.37,4.26,0.77,1.4207650273224044,3.060109289617486,3095,696,B
NP0328403,2,286.886795774418,90.6412478336222,3.735144312393888,64.3,0,2.91,81.11,7.98,0.8500000000000001,0.8488964346349746,3.0560271646859083,2020,4,B
NP0328403,4,138.250237514731,86.51863600317209,3.4741506646971936,59.24,100,1.74,81.16,12.26,0.44,1.03397341211226,4.579025110782865,2157,39,D
NP0328302,5,330.574663510337,94.257788637752,3.8498789346246975,51.86,0,5.97,73.83,13.08,2.18,1.2106537530266344,11.380145278450362,3160,38,B
NP0328302,7,394.939013321266,98.99343544857769,4.171559633027523,50.26,0,1.72,72.1,6.79,0.82,0.45871559633027525,16.14678899082569,4530,90,B
NP0328302,8,251.030031202207,93.63143631436314,3.831099195710456,47.09,100,2.52,75.37,5.5,1.21,1.0723860589812333,4.289544235924933,2817,84,D
NP0335401,3,156.585493166574,97.628927089508,4.0559610705596105,51.55,100,2.55,61.87,14.96,2.92,3.1630170316301705,7.907542579075426,2678,80,D
NP0335401,4,392.881859971113,105.94421582075904,3.996450754214729,47.43,100,1.02,41.68,3.73,0.44,1.1535048802129548,1.064773735581189,3630,17,A
NP0335401,5,286.4736125761,104.67645459488853,4.168327796234773,44.1,100,1.86,33.67,12.18,3.9899999999999998,2.6578073089700998,13.067552602436322,3041,3,A
NP0335401,6,101.619207891775,100.9422110552764,4.7675111773472425,64.9,100,6.38,72.08,62.74,10.430000000000001,10.581222056631892,4.321907600596125,2575,0,C
NP0436408,2,388.074097687436,91.12554112554112,3.9244444444444446,45.47,100,1.74,64.17,6.96,1.19,0.4444444444444444,28.14814814814815,2330,0,D
NP0436408,3,141.828707026755,95.74347332576616,3.987283236994219,48.47,100,2.09,57.35,7.05,2.5500000000000003,3.005780346820809,9.248554913294797,2996,3,D
NP0436408,4,213.483702578952,84.72418670438473,3.534506089309878,57.07,100,2.26,71.15,11.64,0.68,1.0825439783491204,2.841677943166441,2310,12,D
NP0436408,5,137.349848431802,87.51269035532995,3.5656370656370657,56.92,100,7.36,86.09,13.9,0,0.3861003861003861,0.9652509652509652,1622,0,D
NP0436408,6,150.692761301368,86.05341246290801,3.262226847034339,53.68,100,3.41,81.04,24.77,2.29,1.040582726326743,19.042663891779394,2746,0,D
NP0436409,1,213.471889692014,99.22680412371136,3.740322580645161,56.27,100,2.85,75.29,19.35,3.07,1.935483870967742,59.193548387096776,2038,84,D
NP0436409,2,156.34379971549,90.84249084249085,3.8355828220858896,54.68,100,3.2,74.43,14.23,1.23,0.6134969325153374,10.061349693251534,2742,0,D
NP0436409,6,166.532232166719,95.78082191780824,4.48306148055207,47.71,100,1.9,82.75,25.22,0.63,0,7.65370138017566,3195,80,D
NP0436409,7,150.478158709953,101.22038765254844,4.158753709198813,43.89,100,3.96,74.93,10.39,0,0.5934718100890208,2.225519287833828,2479,0,D
NP0436409,8,211.777385330337,92.11448598130842,3.8558030480656504,49.7,100,2.55,79.17,5.16,2.11,1.406799531066823,4.103165298944901,2937,84,D
NP0440406,4,51.7490465932186,95.16778523489933,3.940379403794038,49.9,100,4.61,82.3,60.98,21.41,3.523035230352303,15.989159891598916,1370,0,C
NP0440406,5,250.394718427303,90.78133783024172,3.6612729234088457,52.1,100,3.31,46.48,5.66,1.78,2.481121898597627,7.119741100323624,6347,0,D
NP0440405,4,80.1264693938093,96.31284916201118,3.7067510548523206,50.3,100,8.08,73.38,23.63,1.05,3.5864978902953584,1.6877637130801686,1640,0,D
NP0440405,5,57.969365378645,98.68421052631578,4.265536723163842,57.13,100,3.44,73.64,61.02,18.36,2.5423728813559325,2.5423728813559325,1402,0,C
