activity,adm3_pcode,ward,individuals_sum,individuals_max,population,affected,sum_pc_population,max_pc_population
Gender Based Violence (GBV) : Sensitization/orientation on GBV prevention and response interventions,NP0328302,10,0,0,2821,NA,0,0
Gender Based Violence (GBV) : Sensitization/orientation on GBV prevention and response interventions,NP0328401,5,0,0,2172,NA,0,0
Gender Based Violence (GBV) : Sensitization/orientation on GBV prevention and response interventions,NP0328403,7,0,0,NA,NA,NA,NA
Gender Based Violence (GBV) : Sensitization/orientation on GBV prevention and response interventions,NP0328410,6,0,0,2695,NA,0,0
General Hygiene promotion,NP0328301,2,173,92,5303,1,0.032623043560248914,0.017348670563831794
General Hygiene promotion,NP0328301,3,200,200,4860,1,0.0411522633744856,0.0411522633744856
General Hygiene promotion,NP0328301,5,49,49,6280,1,0.007802547770700637,0.007802547770700637
General Hygiene promotion,NP0330410,8,0,0,2964,1,0,0
"HH chlorination supplies (like Piyush, Aquatabs etc.)",NP0328301,2,1000,1000,5303,1,0.18857250612860646,0.18857250612860646
"HH chlorination supplies (like Piyush, Aquatabs etc.)",NP0329402,2,0,0,558,1,0,0
"HH chlorination supplies (like Piyush, Aquatabs etc.)",NP0329402,5,0,0,2518,1,0,0
Host Family Assistance,NP0328301,2,0,0,5303,1,0,0
Host Family Assistance,NP0329403,5,0,0,2836,1,0,0
Installation/maintenance of WASH facility in school,NP0328301,3,0,0,4860,1,0,0
Installation/maintenance of WASH facility in school,NP0328301,5,0,0,6280,1,0,0
"Integrate psychosocial support services into the SRH service package for women and girls, adolescents and other vulnerable/special population",NP0328301,6,35,35,3996,1,0.008758758758758759,0.008758758758758759
"Integrate psychosocial support services into the SRH service package for women and girls, adolescents and other vulnerable/special population",NP0328301,8,0,0,3873,1,0,0
Kitchen set distribution to HHs as shelter support,NP0328402,5,440,220,3095,1,0.1421647819063005,0.07108239095315025
Major maintenance of overhead tanks water supply system for medium term,NP0330409,6,0,0,4625,1,0,0
Major maintenance of water supply system for immediate water supply maintenance of water supply system for immediate water supply,NP0328301,2,0,0,5303,1,0,0
Major maintenance of water supply system for immediate water supply maintenance of water supply system for immediate water supply,NP0328301,4,0,0,7076,1,0,0
Major maintenance of water supply system for immediate water supply maintenance of water supply system for immediate water supply,NP0328301,6,0,0,3996,1,0,0
